"Cidade","Bioma","Estado","Regiao","Geocode","Eficiencia_VRS","Efic_Norm_VRS","Eficiencia_CRS","Efic_Norm_CRS","Latitude","Longitude","x1","x2","x3","x4","x5","y1","y2","Iy3","Iy4","z1","z2","z3","z4","z5","z6","z7","z8","z9","cluster","Eficiencia_Bootstrap"
"Alta Floresta D'Oeste","Amazônia","RO","NORTE",1100015,1.06072630015959,0.942750264464586,1.19653703772318,0.835745128210023,-11.92,-61.99,372746.2,10980,134869,8550,9380,300860,109202,1.21289e-06,12801,0.78,0.18,0.004851005,0.21260274,0.89,0.248787249,3599,-11.92,-61.99,"0.76 - 1.00",1.11492914658446
"Ariquemes","Amazônia","RO","NORTE",1100023,1,1,1.69222066178075,0.590939481230353,-9.91,-63.04,334255.7,7343,176546,7082,4325,177677,89480,1.04247e-06,27702,0.79,0.11,0.003073771,0.215229215,0.79,0.139002732,24.25,-9.91,-63.04,"0.76 - 1.00",1.08948130728494
"Cabixi","Amazônia","RO","NORTE",1100031,1.40168570671898,0.713426694162962,1.41196247636452,0.708234118639452,-13.49,-60.54,113084.6,12605,99681.3,3085,8733,152915,17864,3.56196e-06,8837,0.78,0.29,0.000930233,0.253731343,0.89,0.24744186,4735,-13.49,-60.54,"0.51 - 0.75",1.50388689056249
"Cacoal","Amazônia","RO","NORTE",1100049,1.14693527288981,0.87188878364549,1.25700679594005,0.795540647218342,-11.43,-61.44,221389.8,7180,87399,9410,6771,193675,31800,1.07294e-06,10577,0.88,0.1,0.003408495,0.195041816,0.9,0.133980073,23335,-11.43,-61.44,"0.76 - 1.00",1.18433276814048
"Cerejeiras","Amazônia","RO","NORTE",1100056,0.999999999999925,1.00000000000008,1,1,-13.18,-60.81,126685.9,9260,132126.38,2182,1152,210069,28005.75,4.29722e-06,12463,0.7,0.23,0.002781641,0.242201835,0.93,0.218358832,6443,-13.18,-60.81,"0.76 - 1.00",1.13634765983814
"Colorado do Oeste","Amazônia","RO","NORTE",1100064,1.20774226150218,0.827991229483192,1.23400044523756,0.810372479085686,-13.11,-60.54,139796.2,5857,71499,4891,3953,148326,26435,1.86161e-06,10637,0.84,0.33,0.004181601,0.248441674,0.94,0.203703704,12727,-13.11,-60.54,"0.76 - 1.00",1.25251395840255
"Corumbiara","Amazônia","RO","NORTE",1100072,1,1,1.00000000000056,0.999999999999445,-12.96,-60.88,273085.6,12313,272712.24,5921,5690,570954,45951,1.40396e-06,9544,0.78,0.2,0.000671592,0.165649521,0.9,0.209536602,2829,-12.96,-60.88,"0.76 - 1.00",1.1372329730624
"Costa Marques","Amazônia","RO","NORTE",1100080,1.59191639530536,0.628173692380486,1.63275591786685,0.612461415118599,-12.44,-64.22,220177.5,5944,63213,4425,7181,109717,61095.72,2.26414e-06,11976,0.69,0.37,0.001333333,0.260051326,0.9,0.262,3489,-12.44,-64.22,"0.51 - 0.75",1.67990655255582
"Espigão D'Oeste","Amazônia","RO","NORTE",1100098,1.27329390948793,0.785364629916562,1.33872376098198,0.746980093388707,-11.52,-61.01,247330.8,5126,78388,6715,3503,151516,74188,1.22026e-06,9233,0.73,0.12,0.004,0.140319716,0.8,0.205,7311,-11.52,-61.01,"0.76 - 1.00",1.33085380233362
"Guajará-Mirim","Amazônia","RO","NORTE",1100106,1.5486886742793,0.64570756964137,1.57276181037947,0.635824187362943,-10.78,-65.33,70487,1776,13155.67,2780,1068,31473,18728.12,3.83577e-06,16.16,0.83,0.44,0.004983389,0.253205128,0.84,0.068106312,1909,-10.78,-65.33,"0.51 - 0.75",1.62805622154766
