Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Pau D'Arco,1505551,2.57261506132791,0.125255999084864,-7.83,-50.04,123819.4,1033,9361.42,1849,329,17607,23581,4.33888e-06,12954,0.8,0.06,0,0.263779528,0.95,0.019298246,3195,-7.83,-50.04,Cerrado
Redenção,1506138,0.999999999999721,0.0486882009546253,-8.02,-50.03,245824.1,3690,1,2841,641,95152,66706.03,0.000100869,8747,0.68,0.05,0.001014199,0.23988006,0.99,0.082150101,21566,-8.02,-50.03,Cerrado
Abreulândia,1700251,3.60536503504529,0.175538737341114,-9.62,-49.15,157432.6,2390,19061.13,1081,191,35015,45346.09,7.03453e-06,7782,0.51,0.2,0,0.374045802,0.99,0.100515464,1357,-9.62,-49.15,Cerrado
Aguiarnópolis,1700301,1,0.0486882009546389,-6.56,-47.46,15118.5,162,7583.94,764,100,16421,5276.93,3.89003e-05,16443,0.75,0.15,1e-10,0.242105263,0.84,0.088757396,27443,-6.56,-47.46,Cerrado
Aliança do Tocantins,1700350,1.91878715667919,0.0934222946735764,-11.3,-48.93,129012.6,3055,23348.68,964,587,47515,42624,6.11108e-06,16361,0.56,0.43,0,0.387434555,0.87,0.245454545,3499,-11.3,-48.93,Cerrado
Almas,1700400,1.64936218633197,0.0803044775751137,-11.57,-47.16,161888.3,1958,36312.7,1010,261,69566,68498,7.49252e-06,18082,0.67,0.18,0,0.176470588,1,0.158640227,1812,-11.57,-47.16,Cerrado
Alvorada,1700707,2.7602909595805,0.134393600933328,-12.47,-49.12,102194,3335,38874.61,565,824,102200,14056.83,0.000186336,9265,0.43,0.15,1e-10,0.676190476,0.86,0.343558282,7025,-12.47,-49.12,Cerrado
Angico,1701051,2.11644459157959,0.103045879584186,-6.38,-47.86,33802,7807,14935.29,543,548,13417,15070.96,2.95508e-05,12314,0.85,0.2,0.006329114,0.118644068,1,0.094936709,7577,-6.38,-47.86,Cerrado
Aparecida do Rio Negro,1701101,2.29729862727745,0.111851337217701,-9.95,-47.97,75818.5,3433,28415.23,797,797,81517,33421.06,1.41408e-05,12511,0.59,0.24,0,0.32631579,0.97,0.057553957,4073,-9.95,-47.97,Cerrado
Araguacema,1701903,2.39094924504826,0.116411017315252,-8.8,-49.55,174914.9,8597,48779.5,2629,1421,75964,55979.14,6.08601e-06,11413,0.78,0.06,0.002085506,0.190023753,0.43,0.04379562,2.52,-8.8,-49.55,Cerrado
Araguaçu,1702000,1.55674865317332,0.075795291261566,-12.93,-49.82,574950.1,7776,78566.53,2933,2523,147778,255878.27,1.39165e-06,11807,0.65,0.25,0.003171247,0.29821718,0.99,0.178646934,1682,-12.93,-49.82,Cerrado
Arraias,1702406,2.04979683216879,0.0998009200808164,-12.93,-46.93,359781.6,3155,32117,3526,1488,85071,66963,2.57528e-06,13368,0.53,0.09,0,0.234693878,0.99,0.161662818,1854,-12.93,-46.93,Cerrado
