MUNICÍPIO;ESTADO;REGIÃO;ID;CódIBGE;CódIBGEM1;CódIBGEE;ÁREA;x1;x2;x3;x4;x5;y1;y2;Iy3;Iy4;z1;z2;z3;z4;z5;z6;z7;z8;z9
Alta Floresta D'Oeste;RO;NORTE;1;1100015;110001;11;7067.03;372746.2;10980;134869;8550;9380;300860;109202;1.21289E-06;12801;0.78;0.18;0.004851005;0.21260274;0.89;0.248787249;3599;-11.92;-61.99
Ariquemes;RO;NORTE;2;1100023;110002;11;4426.57;334255.7;7343;176546;7082;4325;177677;89480;1.04247E-06;27702;0.79;0.11;0.003073771;0.215229215;0.79;0.139002732;24.25;-9.91;-63.04
Cabixi;RO;NORTE;3;1100031;110003;11;1314.35;113084.6;12605;99681.3;3085;8733;152915;17864;3.56196E-06;8837;0.78;0.29;0.000930233;0.253731343;0.89;0.24744186;4735;-13.49;-60.54
Cacoal;RO;NORTE;4;1100049;110004;11;3792.95;221389.8;7180;87399;9410;6771;193675;31800;1.07294E-06;10577;0.88;0.1;0.003408495;0.195041816;0.9;0.133980073;23335;-11.43;-61.44
Cerejeiras;RO;NORTE;5;1100056;110005;11;2783.3;126685.9;9260;132126.38;2182;1152;210069;28005.75;4.29722E-06;12463;0.7;0.23;0.002781641;0.242201835;0.93;0.218358832;6443;-13.18;-60.81
Colorado do Oeste;RO;NORTE;6;1100064;110006;11;1451.06;139796.2;5857;71499;4891;3953;148326;26435;1.86161E-06;10637;0.84;0.33;0.004181601;0.248441674;0.94;0.203703704;12727;-13.11;-60.54
Corumbiara;RO;NORTE;7;1100072;110007;11;3060.32;273085.6;12313;272712.24;5921;5690;570954;45951;1.40396E-06;9544;0.78;0.2;0.000671592;0.165649521;0.9;0.209536602;2829;-12.96;-60.88
Costa Marques;RO;NORTE;8;1100080;110008;11;4987.18;220177.5;5944;63213;4425;7181;109717;61095.72;2.26414E-06;11976;0.69;0.37;0.001333333;0.260051326;0.9;0.262;3489;-12.44;-64.22
Espigão D'Oeste;RO;NORTE;9;1100098;110009;11;4518.03;247330.8;5126;78388;6715;3503;151516;74188;1.22026E-06;9233;0.73;0.12;0.004;0.140319716;0.8;0.205;7311;-11.52;-61.01
Guajará-Mirim;RO;NORTE;10;1100106;110010;11;24855.72;70487;1776;13155.67;2780;1068;31473;18728.12;3.83577E-06;16.16;0.83;0.44;0.004983389;0.253205128;0.84;0.068106312;1909;-10.78;-65.33
Jaru;RO;NORTE;11;1100114;110011;11;2944.13;250653.2;6453;90571;8390;8066;219336;20160;9.23219E-07;9477;0.87;0.16;0.002254791;0.168777816;0.92;0.169673055;18977;-10.43;-62.46
Ji-Paraná;RO;NORTE;12;1100122;110012;11;6896.65;215375;6163;81614.71;7803;3212;168837;29841;1.1534E-06;10825;0.78;0.29;0.003144654;0.293776371;0.93;0.167845912;19236;-10.88;-61.94
Machadinho D'Oeste;RO;NORTE;13;1100130;110013;11;8509.27;300761.5;8941;87130;11820;9841;144898;78321;1.39854E-06;8559;0.9;0.1;0.004213483;0.130510949;0.93;0.189840824;4537;-9.44;-61.98
Nova Brasilândia D'Oeste;RO;NORTE;14;1100148;110014;11;1703.01;156002.3;3723;45952;7851;2787;123603;37565;2.36771E-06;6568;0.88;0.11;0.001993356;0.194228126;0.89;0.255481728;12.77;-11.72;-62.33
Ouro Preto do Oeste;RO;NORTE;15;1100155;110015;11;1969.85;152422.1;4728;76426;6038;6081;165698;16372;1.3386E-06;9325;0.77;0.28;0.003705419;0.172585227;0.85;0.193144975;20184;-10.71;-62.24
Pimenta Bueno;RO;NORTE;16;1100189;110018;11;6240.94;274320.6;5268;42670.27;2898;1408;112042;111090;1.71179E-06;7266;0.73;0.12;0;0.250442478;0.96;0.143432716;6097;-11.67;-61.19
Porto Velho;RO;NORTE;17;1100205;110020;11;34090.96;778218.1;18999;163504;16985;11719;339123;327982;5.01812E-07;17231;0.73;0.24;0.020475179;0.234816597;0.96;0.112227159;15237;-8.76;-63.9
Presidente Médici;RO;NORTE;18;1100254;110025;11;1758.47;124133.7;5369;69117;6621;7858;164760;16097;1.80584E-05;10932;0.79;0.29;0.00760095;0.232655922;0.94;0.217102138;12581;-11.17;-61.9
Rio Crespo;RO;NORTE;19;1100262;110026;11;1717.64;136002.6;5319;52204.4;1685;7652;107602;51709.76;3.80826E-06;24667;0.66;0.14;0.00203252;0.351123596;0.92;0.223577236;2229;-9.7;-62.9
Rolim de Moura;RO;NORTE;20;1100288;110028;11;1457.89;123887;5219;74164;5634;3791;148091;18248;2.02709E-06;13269;0.8;0.22;0.001472031;0.238493724;0.91;0.158488714;39148;-11.73;-61.77
Santa Luzia D'Oeste;RO;NORTE;21;1100296;110029;11;1197.8;84667.4;3365;1336879;3214;1026;88624;13613;2.77293E-06;11123;0.85;0.26;0.001955034;0.158730159;0.87;0.223851417;6844;-11.9;-61.77
Vilhena;RO;NORTE;22;1100304;110030;11;11699.15;250109.5;13361;167566;4970;5408;285441;107301;3.03578E-06;16721;0.72;0.27;0.00443038;0.323917138;0.91;0.112658228;8174;-12.74;-60.14
